step,selected_feature,family,n_selected,n_remaining,rmse,worst_case
1,delta_Gini index_lag11,delta_Gini index,1,416,2.3157087266292504,4.970097739708763
2,delta_GDP (current US$)_lag10,delta_GDP (current US$),2,403,1.6998734441709307,4.2935368689308575
3,delta_Natural gas production_x_lag13,delta_Natural gas production_x,3,390,1.6357696356478237,4.269071546436351
4,delta_Energy use_lag2,delta_Energy use,4,377,1.6173897381005957,4.270106998325389
5,delta_Renewable electricity output (% of total electricity output)_lag6,delta_Renewable electricity output (% of total electricity output),5,364,1.6095060716702423,4.270106998325389
6,delta_t2m_lag7,delta_t2m,6,351,1.6083443888162157,4.270106998325389
7,"delta_Unemployment, total (% of total labor force) (national estimate)_lag7","delta_Unemployment, total (% of total labor force) (national estimate)",7,338,1.6076552946195106,4.2703950079689434
8,delta_sp_lag5,delta_sp,8,325,1.6067924376172584,4.2702121409187725
9,delta_Natural gas production_y_lag9,delta_Natural gas production_y,9,312,1.6053625214400993,4.270586458087962
10,delta_CO2 emissions_lag6,delta_CO2 emissions,10,299,1.6043463480254347,4.270586458087962
11,delta_d2m_lag5,delta_d2m,11,286,1.6037974978416956,4.270586458087962
12,delta_Oil consumption_lag4,delta_Oil consumption,12,273,1.6036534252844685,4.270586458087962
13,delta_Coal consumption_lag9,delta_Coal consumption,13,260,1.603376580042256,4.270586458087962
