step,selected_feature,family,n_selected,n_remaining,rmse,worst_case
1,delta_Oil consumption_lag21,delta_Oil consumption,1,736,1.7833687067512667,2.553343955655862
2,"delta_Life expectancy at birth, total (years)_lag11","delta_Life expectancy at birth, total (years)",2,713,1.6258674783203408,2.542029176135827
3,delta_Energy use_lag23,delta_Energy use,3,690,1.6198323970788369,2.542029176135827
4,delta_Gini index_lag3,delta_Gini index,4,667,1.6189492314667273,2.542029176135827
5,delta_Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_lag15,delta_Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),5,644,1.618616706692529,2.542029176135827
6,delta_blh_lag4,delta_blh,6,621,1.6181393205821646,2.542029176135827
