target_year,selection,model,optimize_metric,n_features,final_rmse,final_worst_case,selected_features
2012,Ridge_rmse,Ridge,rmse,6,0.28636830137797503,0.419654221921653,delta_Energy use_lag20 | delta_CO2 emissions_lag12 | delta_u10_lag13 | delta_d2m_lag2 | delta_Surface area (sq. km)_lag16 | delta_sst_lag10
2012,Ridge_worst_case,Ridge,worst_case,9,0.43754380248530955,0.5655802603407696,"delta_Oil consumption_lag19 | delta_Raw materials extracted_lag5 | delta_sst_lag1 | delta_Coal consumption_lag13 | delta_Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_lag13 | delta_Unemployment, total (% of total labor force) (national estimate)_lag7 | delta_Renewable electricity output (% of total electricity output)_lag7 | delta_Compulsory education, duration (years)_lag1 | delta_Sulfur emission_lag1"
2012,XGBoost_rmse,XGBoost,rmse,6,2.058504615190242,3.633122189351809,"delta_Energy use_lag2 | delta_Raw materials extracted_lag9 | delta_Population, total_lag15 | delta_Life expectancy at birth, total (years)_lag5 | delta_GDP (current US$)_lag4 | delta_Gini index_lag2"
2012,XGBoost_worst_case,XGBoost,worst_case,2,2.4634670350122514,3.553480370351565,delta_Energy use_lag2 | delta_Electricity use_lag14
