step,selected_feature,family,n_selected,n_remaining,rmse,worst_case
1,delta_Electricity use_lag5,delta_Electricity use,1,288,1.8546380377549616,4.72373063294284
2,"delta_Life expectancy at birth, total (years)_lag3","delta_Life expectancy at birth, total (years)",2,279,1.7510835002961336,3.954374873897325
3,delta_u10_lag7,delta_u10,3,270,1.6795302937154117,3.260963897754782
4,delta_sst_lag3,delta_sst,4,261,1.6103696496468067,2.8837175791283993
5,delta_GDP per capita (constant 2015 US$)_lag5,delta_GDP per capita (constant 2015 US$),5,252,1.642752756451743,2.7952018458033727
6,delta_Natural gas production_y_lag2,delta_Natural gas production_y,6,243,1.6990354317565584,2.7577549479714065
7,delta_Access to electricity (% of population)_lag6,delta_Access to electricity (% of population),7,234,1.7099805631616918,2.7520098412205067
8,"delta_Mortality rate, infant (per 1,000 live births)_lag8","delta_Mortality rate, infant (per 1,000 live births)",8,225,1.7682447385040234,2.751322218453096
