step,selected_feature,family,n_selected,n_remaining,rmse,worst_case
1,delta_Gini index_lag11,delta_Gini index,1,416,2.1655457453235627,3.1984216594650494
2,delta_Energy use_lag1,delta_Energy use,2,403,1.281310376627957,1.9883544038213392
3,delta_Coal consumption_lag6,delta_Coal consumption,3,390,0.9628074444233439,1.5805800699434243
4,delta_d2m_lag10,delta_d2m,4,377,0.6619651029074881,1.053109605533966
5,"delta_Unemployment, total (% of total labor force) (national estimate)_lag9","delta_Unemployment, total (% of total labor force) (national estimate)",5,364,0.461340040885373,0.6696094963010983
6,"delta_Life expectancy at birth, total (years)_lag7","delta_Life expectancy at birth, total (years)",6,351,0.5120313710900285,0.6495176535075036
