target_year,selection,model,optimize_metric,n_features,final_rmse,final_worst_case,selected_features
1996,Ridge_rmse,Ridge,rmse,17,0.9759149702457629,1.888692456788232,"delta_blh_lag1 | delta_GDP (current US$)_lag3 | delta_v10_lag4 | delta_Sulfur emission_lag4 | delta_Surface area (sq. km)_lag2 | delta_Raw materials extracted_lag1 | delta_Natural gas production_y_lag1 | delta_u10_lag1 | delta_Energy use_lag4 | delta_Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_lag3 | delta_sst_lag3 | delta_Population, total_lag6 | delta_d2m_lag2 | delta_Life expectancy at birth, total (years)_lag1 | delta_Electricity use_lag4 | delta_sp_lag5 | delta_Compulsory education, duration (years)_lag1"
1996,Ridge_worst_case,Ridge,worst_case,8,1.4747703500767368,2.240711130210719,delta_sst_lag3 | delta_u10_lag3 | delta_Electricity use_lag2 | delta_PM2.5 pollution_lag3 | delta_Renewable electricity output (% of total electricity output)_lag3 | delta_Sulfur emission_lag5 | delta_skt_lag5 | delta_Surface area (sq. km)_lag1
1996,XGBoost_rmse,XGBoost,rmse,6,1.420082957323886,3.88984538734843,"delta_Mortality rate, infant (per 1,000 live births)_lag4 | delta_Renewable electricity output (% of total electricity output)_lag1 | delta_Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_lag5 | delta_Life expectancy at birth, total (years)_lag2 | delta_Access to electricity (% of population)_lag3 | delta_Access to clean fuels and technologies for cooking (% of population)_lag1"
1996,XGBoost_worst_case,XGBoost,worst_case,6,1.4946200266794778,3.3373174530356096,delta_skt_lag2 | delta_Gini index_lag2 | delta_Electricity use_lag4 | delta_sp_lag2 | delta_Surface area (sq. km)_lag4 | delta_Oil consumption_lag6
