target_year,selection,model,optimize_metric,n_features,final_rmse,final_worst_case,selected_features
1997,Ridge_rmse,Ridge,rmse,18,0.532524568150026,1.2361668200816105,"delta_u10_lag1 | delta_Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_lag1 | delta_GDP (current US$)_lag3 | delta_Life expectancy at birth, total (years)_lag1 | delta_Renewable electricity output (% of total electricity output)_lag3 | delta_GDP per capita (constant 2015 US$)_lag1 | delta_Natural gas production_x_lag1 | delta_Raw materials extracted_lag1 | delta_Energy use_lag5 | delta_Sulfur emission_lag5 | delta_Gini index_lag4 | delta_Unemployment, total (% of total labor force) (national estimate)_lag3 | delta_PM2.5 pollution_lag5 | delta_Surface area (sq. km)_lag6 | delta_Oil consumption_lag7 | delta_CO2 emissions_lag5 | delta_d2m_lag5 | delta_blh_lag4"
1997,Ridge_worst_case,Ridge,worst_case,12,1.2925030282989374,2.144342825744907,"delta_sst_lag4 | delta_u10_lag5 | delta_v10_lag3 | delta_Access to electricity (% of population)_lag1 | delta_Oil consumption_lag1 | delta_Renewable electricity output (% of total electricity output)_lag4 | delta_Surface area (sq. km)_lag5 | delta_Sulfur emission_lag6 | delta_Unemployment, total (% of total labor force) (national estimate)_lag7 | delta_Life expectancy at birth, total (years)_lag1 | delta_Raw materials extracted_lag6 | delta_Compulsory education, duration (years)_lag1"
1997,XGBoost_rmse,XGBoost,rmse,9,1.3933564455688099,5.377159839630906,"delta_Mortality rate, infant (per 1,000 live births)_lag5 | delta_v10_lag2 | delta_GDP (current US$)_lag3 | delta_skt_lag6 | delta_Natural gas production_x_lag5 | delta_Sulfur emission_lag7 | delta_d2m_lag3 | delta_Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_lag1 | delta_Access to electricity (% of population)_lag1"
1997,XGBoost_worst_case,XGBoost,worst_case,4,1.9295160651394805,4.055599754811112,"delta_u10_lag1 | delta_v10_lag1 | delta_Electricity use_lag6 | delta_Life expectancy at birth, total (years)_lag6"
