target_year,selection,model,optimize_metric,n_features,final_rmse,final_worst_case,selected_features
2017,Ridge_rmse,Ridge,rmse,8,0.3181566855377432,0.6093589954637451,"delta_CO2 emissions_lag15 | delta_Raw materials extracted_lag25 | delta_Coal consumption_lag1 | delta_t2m_lag18 | delta_Mortality rate, infant (per 1,000 live births)_lag24 | delta_u10_lag20 | delta_Unemployment, total (% of total labor force) (national estimate)_lag17 | delta_Compulsory education, duration (years)_lag1"
2017,Ridge_worst_case,Ridge,worst_case,5,0.7442706229120035,0.99228551468028,"delta_Surface area (sq. km)_lag24 | delta_GDP per capita (constant 2015 US$)_lag2 | delta_Oil consumption_lag7 | delta_Natural gas production_x_lag11 | delta_Life expectancy at birth, total (years)_lag21"
2017,XGBoost_rmse,XGBoost,rmse,4,1.847641629413011,4.332712822352448,"delta_Life expectancy at birth, total (years)_lag4 | delta_Renewable electricity output (% of total electricity output)_lag9 | delta_sst_lag10 | delta_Electricity use_lag1"
2017,XGBoost_worst_case,XGBoost,worst_case,4,3.03952597304793,4.305826120768586,delta_Natural gas production_y_lag12 | delta_d2m_lag14 | delta_sst_lag3 | delta_blh_lag1
