target_year,selection,model,optimize_metric,n_features,final_rmse,final_worst_case,selected_features
1992,Ridge_rmse,Ridge,rmse,10,1.0509995950165318,2.656417578485968,"delta_u10_lag2 | delta_CO2 emissions_lag1 | delta_Mortality rate, infant (per 1,000 live births)_lag2 | delta_Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_lag1 | delta_Sulfur emission_lag2 | delta_d2m_lag1 | delta_Renewable electricity output (% of total electricity output)_lag2 | delta_Access to electricity (% of population)_lag1 | delta_Unemployment, total (% of total labor force) (national estimate)_lag2 | delta_Coal consumption_lag2"
1992,Ridge_worst_case,Ridge,worst_case,5,1.6899843573188602,2.9467521647610595,delta_u10_lag2 | delta_Electricity use_lag1 | delta_blh_lag1 | delta_Natural gas production_x_lag1 | delta_Renewable electricity output (% of total electricity output)_lag1
1992,XGBoost_rmse,XGBoost,rmse,7,1.244176403565012,2.9632170397709388,"delta_Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_lag1 | delta_Coal consumption_lag2 | delta_u10_lag2 | delta_Population, total_lag1 | delta_Electricity use_lag2 | delta_PM2.5 pollution_lag2 | delta_Surface area (sq. km)_lag1"
1992,XGBoost_worst_case,XGBoost,worst_case,3,1.6266828411332634,2.8939469297253595,delta_Oil consumption_lag1 | delta_Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_lag1 | delta_v10_lag2
