step,selected_feature,family,n_selected,n_remaining,rmse,worst_case
1,delta_Oil consumption_lag20,delta_Oil consumption,1,704,1.6719944983162909,2.414881379267751
2,"delta_Unemployment, total (% of total labor force) (national estimate)_lag9","delta_Unemployment, total (% of total labor force) (national estimate)",2,682,0.7783900072151974,1.1043498552691036
3,delta_Raw materials extracted_lag22,delta_Raw materials extracted,3,660,0.7017727869023659,1.0291962032819129
4,delta_Sulfur emission_lag1,delta_Sulfur emission,4,638,0.7017727869023659,1.029196203281912
