step,selected_feature,family,n_selected,n_remaining,rmse,worst_case
1,"delta_Mortality rate, infant (per 1,000 live births)_lag6","delta_Mortality rate, infant (per 1,000 live births)",1,256,2.143594751171099,6.402309044971503
2,delta_v10_lag2,delta_v10,2,248,1.9845497147160187,5.077594026699103
3,"delta_Life expectancy at birth, total (years)_lag4","delta_Life expectancy at birth, total (years)",3,240,1.7395721437226552,4.656290949089936
4,delta_GDP (current US$)_lag8,delta_GDP (current US$),4,232,1.5402280934757047,4.778103649766621
5,delta_Raw materials extracted_lag7,delta_Raw materials extracted,5,224,1.4257361271059477,4.23557494558338
6,delta_Natural gas production_x_lag1,delta_Natural gas production_x,6,216,1.372021480654231,4.177509606034931
7,delta_Sulfur emission_lag7,delta_Sulfur emission,7,208,1.2615676845579795,4.159132405891455
8,delta_CO2 emissions_lag5,delta_CO2 emissions,8,200,1.2313771328444563,3.8725704399490724
9,delta_Gini index_lag7,delta_Gini index,9,192,1.2252472470954312,3.8890625683212647
