target_year,selection,model,optimize_metric,n_features,final_rmse,final_worst_case,selected_features
1999,Ridge_rmse,Ridge,rmse,23,0.4699958515537245,1.5398601463297705,"delta_u10_lag3 | delta_GDP (current US$)_lag8 | delta_skt_lag3 | delta_Life expectancy at birth, total (years)_lag5 | delta_GDP per capita (constant 2015 US$)_lag7 | delta_Mortality rate, infant (per 1,000 live births)_lag7 | delta_Access to electricity (% of population)_lag9 | delta_blh_lag6 | delta_Gini index_lag1 | delta_Unemployment, total (% of total labor force) (national estimate)_lag6 | delta_Coal consumption_lag3 | delta_t2m_lag7 | delta_Raw materials extracted_lag9 | delta_Natural gas production_y_lag7 | delta_Natural gas production_x_lag7 | delta_Sulfur emission_lag3 | delta_Energy use_lag1 | delta_CO2 emissions_lag9 | delta_Renewable electricity output (% of total electricity output)_lag3 | delta_Surface area (sq. km)_lag7 | delta_Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_lag2 | delta_d2m_lag6 | delta_Electricity use_lag6"
1999,Ridge_worst_case,Ridge,worst_case,8,1.7682447385040234,2.751322218453096,"delta_Electricity use_lag5 | delta_Life expectancy at birth, total (years)_lag3 | delta_u10_lag7 | delta_sst_lag3 | delta_GDP per capita (constant 2015 US$)_lag5 | delta_Natural gas production_y_lag2 | delta_Access to electricity (% of population)_lag6 | delta_Mortality rate, infant (per 1,000 live births)_lag8"
1999,XGBoost_rmse,XGBoost,rmse,8,1.2221867152429917,3.659369651137979,"delta_d2m_lag1 | delta_Unemployment, total (% of total labor force) (national estimate)_lag5 | delta_Gini index_lag1 | delta_PM2.5 pollution_lag9 | delta_Oil consumption_lag4 | delta_Mortality rate, infant (per 1,000 live births)_lag3 | delta_Surface area (sq. km)_lag4 | delta_Access to electricity (% of population)_lag5"
1999,XGBoost_worst_case,XGBoost,worst_case,6,1.386245265942171,2.3710246545219604,"delta_GDP per capita (constant 2015 US$)_lag9 | delta_d2m_lag1 | delta_Sulfur emission_lag6 | delta_t2m_lag1 | delta_Mortality rate, infant (per 1,000 live births)_lag8 | delta_Access to electricity (% of population)_lag5"
