target_year,selection,model,optimize_metric,n_features,final_rmse,final_worst_case,selected_features
2008,Ridge_rmse,Ridge,rmse,5,0.3625609426747062,0.6562157020831116,"delta_Gini index_lag10 | delta_Unemployment, total (% of total labor force) (national estimate)_lag17 | delta_PM2.5 pollution_lag4 | delta_Access to electricity (% of population)_lag1 | delta_People using at least basic sanitation services (% of population)_lag8"
2008,Ridge_worst_case,Ridge,worst_case,6,0.8687498700038951,1.330442865175649,"delta_CO2 emissions_lag9 | delta_Life expectancy at birth, total (years)_lag8 | delta_Sulfur emission_lag17 | delta_t2m_lag17 | delta_Raw materials extracted_lag6 | delta_Renewable electricity output (% of total electricity output)_lag3"
2008,XGBoost_rmse,XGBoost,rmse,3,1.4783519804542025,2.931322332365795,"delta_Mortality rate, infant (per 1,000 live births)_lag2 | delta_Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_lag3 | delta_Access to clean fuels and technologies for cooking (% of population)_lag2"
2008,XGBoost_worst_case,XGBoost,worst_case,4,1.898820583711299,2.7741425903114987,"delta_Mortality rate, infant (per 1,000 live births)_lag2 | delta_Gini index_lag12 | delta_Surface area (sq. km)_lag9 | delta_Coal consumption_lag1"
