target_year,selection,model,optimize_metric,n_features,final_rmse,final_worst_case,selected_features
2001,Ridge_rmse,Ridge,rmse,5,0.3810115239073006,0.8416199389784997,"delta_blh_lag1 | delta_Unemployment, total (% of total labor force) (national estimate)_lag10 | delta_v10_lag3 | delta_Natural gas production_y_lag6 | delta_Surface area (sq. km)_lag6"
2001,Ridge_worst_case,Ridge,worst_case,7,0.46478181518157147,0.6326185077027409,"delta_blh_lag1 | delta_Unemployment, total (% of total labor force) (national estimate)_lag10 | delta_v10_lag2 | delta_t2m_lag8 | delta_Renewable electricity output (% of total electricity output)_lag3 | delta_d2m_lag9 | delta_Surface area (sq. km)_lag1"
2001,XGBoost_rmse,XGBoost,rmse,5,1.5767412753121357,4.08304923453818,"delta_Sulfur emission_lag7 | delta_Unemployment, total (% of total labor force) (national estimate)_lag1 | delta_Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_lag2 | delta_Renewable electricity output (% of total electricity output)_lag10 | delta_Oil consumption_lag7"
2001,XGBoost_worst_case,XGBoost,worst_case,2,2.6969010307061003,3.81431546359471,"delta_Gini index_lag7 | delta_Mortality rate, infant (per 1,000 live births)_lag7"
