target_year,selection,model,optimize_metric,n_features,final_rmse,final_worst_case,selected_features
1994,Ridge_rmse,Ridge,rmse,18,0.5936451466268642,1.8699926574398793,"delta_sst_lag1 | delta_Renewable electricity output (% of total electricity output)_lag1 | delta_u10_lag3 | delta_Electricity use_lag1 | delta_Energy use_lag4 | delta_Access to electricity (% of population)_lag1 | delta_t2m_lag1 | delta_sp_lag4 | delta_GDP (current US$)_lag1 | delta_Mortality rate, infant (per 1,000 live births)_lag4 | delta_Sulfur emission_lag4 | delta_Unemployment, total (% of total labor force) (national estimate)_lag4 | delta_blh_lag3 | delta_GDP per capita (constant 2015 US$)_lag1 | delta_Life expectancy at birth, total (years)_lag1 | delta_PM2.5 pollution_lag4 | delta_skt_lag2 | delta_Surface area (sq. km)_lag2"
1994,Ridge_worst_case,Ridge,worst_case,6,1.218992889415349,1.7781317497689533,delta_u10_lag4 | delta_sp_lag2 | delta_GDP (current US$)_lag1 | delta_blh_lag4 | delta_Electricity use_lag2 | delta_Surface area (sq. km)_lag1
1994,XGBoost_rmse,XGBoost,rmse,8,1.0909282602741617,2.484518160172513,"delta_Unemployment, total (% of total labor force) (national estimate)_lag2 | delta_Life expectancy at birth, total (years)_lag4 | delta_sst_lag3 | delta_u10_lag2 | delta_PM2.5 pollution_lag2 | delta_v10_lag4 | delta_GDP (current US$)_lag2 | delta_Mortality rate, infant (per 1,000 live births)_lag3"
1994,XGBoost_worst_case,XGBoost,worst_case,5,1.422979296202719,2.1981810743027097,delta_Energy use_lag4 | delta_GDP (current US$)_lag3 | delta_Electricity use_lag1 | delta_Raw materials extracted_lag2 | delta_u10_lag2
