target_year,selection,model,optimize_metric,n_features,final_rmse,final_worst_case,selected_features
2006,Ridge_rmse,Ridge,rmse,8,0.356100717354661,0.6457587869150894,"delta_Unemployment, total (% of total labor force) (national estimate)_lag15 | delta_CO2 emissions_lag12 | delta_Natural gas production_x_lag10 | delta_Energy use_lag8 | delta_t2m_lag1 | delta_People using at least basic sanitation services (% of population)_lag2 | delta_Access to clean fuels and technologies for cooking (% of population)_lag5 | delta_Mortality rate, infant (per 1,000 live births)_lag8"
2006,Ridge_worst_case,Ridge,worst_case,6,0.7588629962025567,0.9557509442080292,"delta_CO2 emissions_lag1 | delta_blh_lag13 | delta_Access to electricity (% of population)_lag6 | delta_skt_lag4 | delta_Population, total_lag5 | delta_Electricity use_lag4"
2006,XGBoost_rmse,XGBoost,rmse,9,1.204006418518441,2.121359900907322,"delta_Mortality rate, infant (per 1,000 live births)_lag2 | delta_Life expectancy at birth, total (years)_lag11 | delta_t2m_lag16 | delta_blh_lag16 | delta_Unemployment, total (% of total labor force) (national estimate)_lag12 | delta_Oil consumption_lag8 | delta_Energy use_lag1 | delta_Natural gas production_y_lag10 | delta_d2m_lag15"
2006,XGBoost_worst_case,XGBoost,worst_case,9,2.217192634673675,3.47356600480191,"delta_CO2 emissions_lag1 | delta_Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita)_lag1 | delta_GDP (current US$)_lag12 | delta_sst_lag10 | delta_Oil consumption_lag11 | delta_Raw materials extracted_lag2 | delta_Unemployment, total (% of total labor force) (national estimate)_lag4 | delta_Electricity use_lag6 | delta_blh_lag13"
